start date,start time,end date,end time,class Id,Estudi,Codi_Ass,Id Anònim PD
17/09/2024,10:30,17/09/2024,11:30,Q3/0009,10062 Enginyeria Informàtica,103803,
17/09/2024,10:30,17/09/2024,12:30,Q2/0011,10062 Enginyeria Informàtica,102760,
17/09/2024,10:30,17/09/2024,12:30,Q1/0007,10062 Enginyeria Informàtica,102767,
17/09/2024,10:30,17/09/2024,12:30,Q1/1007,10062 Enginyeria Informàtica,102787,
17/09/2024,10:30,17/09/2024,12:30,Q4/1003,10062 Enginyeria Informàtica,102776,
17/09/2024,10:30,17/09/2024,12:30,Q1/1003,10062 Enginyeria Informàtica,102771,
17/09/2024,10:30,17/09/2024,12:30,Q4/1009,10062 Enginyeria Informàtica,102767,
17/09/2024,11:30,17/09/2024,12:30,Q3/0009,10062 Enginyeria Informàtica,102774,
17/09/2024,11:30,17/09/2024,12:30,Q2/1005,10062 Enginyeria Informàtica,102758,
17/09/2024,11:30,17/09/2024,12:30,Q2/1003,10062 Enginyeria Informàtica,103803,
17/09/2024,11:30,17/09/2024,12:30,Q3/0013,10062 Enginyeria Informàtica,102740,
17/09/2024,12:30,17/09/2024,14:30,Q1/0007,10062 Enginyeria Informàtica,102767,
17/09/2024,12:30,17/09/2024,14:30,Q4/1013,10062 Enginyeria Informàtica,102762,
17/09/2024,12:30,17/09/2024,14:30,Q2/0013,10062 Enginyeria Informàtica,103806,
17/09/2024,12:30,17/09/2024,14:30,Q2/1003,10062 Enginyeria Informàtica,102767,
17/09/2024,15:00,17/09/2024,17:00,Q2/1013,10062 Enginyeria Informàtica,102771,
17/09/2024,15:00,17/09/2024,17:00,Q1/0019,10062 Enginyeria Informàtica,102767,
17/09/2024,15:00,17/09/2024,17:00,Q2/0019,10062 Enginyeria Informàtica,102760,
17/09/2024,15:00,17/09/2024,17:00,Q1/0007,10062 Enginyeria Informàtica,102767,
17/09/2024,17:00,17/09/2024,18:00,Q4/0007,10062 Enginyeria Informàtica,103803,
17/09/2024,18:00,17/09/2024,19:00,Q4/0007,10062 Enginyeria Informàtica,102774,
18/09/2024,08:30,18/09/2024,09:30,Q4/1003,10062 Enginyeria Informàtica,102791,
18/09/2024,08:30,18/09/2024,10:30,Q1/0019,10062 Enginyeria Informàtica,102744,
18/09/2024,08:30,18/09/2024,10:30,Q1/1007,10062 Enginyeria Informàtica,102759,
18/09/2024,08:30,18/09/2024,10:30,Q3/1011,10062 Enginyeria Informàtica,102744,
18/09/2024,08:30,18/09/2024,10:30,Q1/1003,10062 Enginyeria Informàtica,103801,
18/09/2024,08:30,18/09/2024,10:30,Q2/1013,10062 Enginyeria Informàtica,102741,
18/09/2024,08:30,18/09/2024,10:30,Q5/1011,10062 Enginyeria Informàtica,102783,
18/09/2024,08:30,18/09/2024,10:30,Q3/0003,10062 Enginyeria Informàtica,102747,
18/09/2024,08:30,18/09/2024,10:30,QC/0011,10062 Enginyeria Informàtica,105073,
18/09/2024,09:30,18/09/2024,10:30,Q3/0013,10062 Enginyeria Informàtica,102742,
18/09/2024,10:30,18/09/2024,11:30,Q2/1003,10062 Enginyeria Informàtica,102771,
18/09/2024,10:30,18/09/2024,11:30,Q1/0007,10062 Enginyeria Informàtica,103806,
18/09/2024,10:30,18/09/2024,11:30,Q3/0003,10062 Enginyeria Informàtica,102742,
18/09/2024,10:30,18/09/2024,12:30,Q1/1003,10062 Enginyeria Informàtica,103801,
18/09/2024,10:30,18/09/2024,12:30,Q2/1009,10062 Enginyeria Informàtica,102747,
18/09/2024,10:30,18/09/2024,12:30,QC/0011,10062 Enginyeria Informàtica,105072,
18/09/2024,10:30,18/09/2024,12:30,Q2/1005,10062 Enginyeria Informàtica,102744,
18/09/2024,10:30,18/09/2024,12:30,Q5/1011,10062 Enginyeria Informàtica,102783,
18/09/2024,10:30,18/09/2024,12:30,Q3/0013,10062 Enginyeria Informàtica,102778,
18/09/2024,11:30,18/09/2024,12:30,Q2/1003,10062 Enginyeria Informàtica,102771,
18/09/2024,11:30,18/09/2024,12:30,Q4/1005,10062 Enginyeria Informàtica,102742,
18/09/2024,11:30,18/09/2024,12:30,Q1/0007,10062 Enginyeria Informàtica,103806,
18/09/2024,12:30,18/09/2024,13:30,Q3/0013,10062 Enginyeria Informàtica,102742,
18/09/2024,12:30,18/09/2024,13:30,Q2/1009,10062 Enginyeria Informàtica,102740,
18/09/2024,12:30,18/09/2024,13:30,Q2/1003,10062 Enginyeria Informàtica,102771,
18/09/2024,12:30,18/09/2024,13:30,Q1/0007,10062 Enginyeria Informàtica,103806,
18/09/2024,12:30,18/09/2024,14:30,Q1/0019,10062 Enginyeria Informàtica,102744,
18/09/2024,12:30,18/09/2024,14:30,Q1/1003,10062 Enginyeria Informàtica,102759,
18/09/2024,13:30,18/09/2024,14:30,Q3/0013,10062 Enginyeria Informàtica,102742,
18/09/2024,13:30,18/09/2024,14:30,Q2/1003,10062 Enginyeria Informàtica,102771,
18/09/2024,13:30,18/09/2024,14:30,Q1/0007,10062 Enginyeria Informàtica,103806,
18/09/2024,15:00,18/09/2024,16:00,Q2/1013,10062 Enginyeria Informàtica,102771,
18/09/2024,15:00,18/09/2024,16:00,Q1/0007,10062 Enginyeria Informàtica,103806,
18/09/2024,15:00,18/09/2024,17:00,Q2/1003,10062 Enginyeria Informàtica,102744,
18/09/2024,15:00,18/09/2024,17:00,Q1/0019,10062 Enginyeria Informàtica,102744,
18/09/2024,16:00,18/09/2024,17:00,Q2/1013,10062 Enginyeria Informàtica,102771,
18/09/2024,16:00,18/09/2024,17:00,Q3/0013,10062 Enginyeria Informàtica,103806,
18/09/2024,16:00,18/09/2024,17:00,Q3/0009,10062 Enginyeria Informàtica,102742,
18/09/2024,16:00,18/09/2024,17:00,Q1/0007,10062 Enginyeria Informàtica,103806,
18/09/2024,17:00,18/09/2024,18:00,Q3/0009,10062 Enginyeria Informàtica,102742,
18/09/2024,17:00,18/09/2024,19:00,Q2/1013,10062 Enginyeria Informàtica,103801,
18/09/2024,17:00,18/09/2024,19:00,Q3/0003,10062 Enginyeria Informàtica,102747,
