14/09/2023,08:30,14/09/2023,10:30, ,Q1/0007,10062 Enginyeria Informàtica,102767 Laboratori de Programació - 411,42
14/09/2023,08:30,14/09/2023,10:30,2,Q2/1003,10062 Enginyeria Informàtica,103805 Fonaments d'Enginyeria - 412,38
14/09/2023,09:30,14/09/2023,10:30, ,Q4/1003,10062 Enginyeria Informàtica,102759 Disseny de Software - 421,Sense grup de matricula
14/09/2023,09:30,14/09/2023,10:30,1,Q3/0009,10062 Enginyeria Informàtica,102763 Requisits del Software - 422,Sense grup de matricula
14/09/2023,10:30,14/09/2023,12:30,2,Q4/1003,10062 Enginyeria Informàtica,102776 Gestió i Administració de Xarxes - 430,44
14/09/2023,10:30,14/09/2023,12:30,2,Q2/1005,10062 Enginyeria Informàtica,103805 Fonaments d'Enginyeria - 431,41
14/09/2023,10:30,14/09/2023,12:30,2,Q4/1009,10062 Enginyeria Informàtica,103805 Fonaments d'Enginyeria - 432,41
14/09/2023,10:30,14/09/2023,12:30, ,Q1/0007,10062 Enginyeria Informàtica,102767 Laboratori de Programació - 412,44
14/09/2023,10:30,14/09/2023,12:30,2,Q3/0003,10062 Enginyeria Informàtica,102758 Test i Qualitat del Software - 420,99
14/09/2023,10:30,14/09/2023,12:30,2,Q2/1003,10062 Enginyeria Informàtica,102767 Laboratori de Programació - 431,42
14/09/2023,10:30,14/09/2023,12:30, ,Q1/1007,10062 Enginyeria Informàtica,102787 Aprenentatge Computacional - 440,87
14/09/2023,10:30,14/09/2023,12:30,2,Q4/0007,10062 Enginyeria Informàtica,102760 Gestió de Projectes - 415,86
14/09/2023,12:30,14/09/2023,13:30,1,Q1/1007,10062 Enginyeria Informàtica,102773 Fonaments de Tecnologia de la Informació - 451,Sense grup de matricula
14/09/2023,12:30,14/09/2023,13:30, ,Q3/0013,10062 Enginyeria Informàtica,102759 Disseny de Software - 452,Sense grup de matricula
14/09/2023,12:30,14/09/2023,14:30,2,Q4/1013,10062 Enginyeria Informàtica,102762 Anglès Professional I - 418,33
14/09/2023,12:30,14/09/2023,14:30,2,Q1/0007,10062 Enginyeria Informàtica,102767 Laboratori de Programació - 413,38
14/09/2023,12:30,14/09/2023,14:30, ,Q5/1011,10062 Enginyeria Informàtica,102753 Visualització Gràfica Interactiva - 441,36
14/09/2023,12:30,14/09/2023,14:30, ,Q2/1003,10062 Enginyeria Informàtica,102767 Laboratori de Programació - 432,45
14/09/2023,13:30,14/09/2023,14:30,1,Q1/1007,10062 Enginyeria Informàtica,102759 Disseny de Software - 451,Sense grup de matricula
14/09/2023,13:30,14/09/2023,14:30,1,Q3/0013,10062 Enginyeria Informàtica,102773 Fonaments de Tecnologia de la Informació - 452,Sense grup de matricula
14/09/2023,15:00,14/09/2023,17:00,2,Q2/1009,10062 Enginyeria Informàtica,102774 Estructura de Computadors - 45,42
14/09/2023,15:00,14/09/2023,17:00,2,Q2/1003,10062 Enginyeria Informàtica,103805 Fonaments d'Enginyeria - 451,41
14/09/2023,17:00,14/09/2023,19:00, ,Q2/1009,10062 Enginyeria Informàtica,102767 Laboratori de Programació - 451,44
14/09/2023,19:00,14/09/2023,21:00,2,Q1/0019,10062 Enginyeria Informàtica,102767 Laboratori de Programació - 452,43
15/09/2023,08:30,15/09/2023,09:30, ,Q1/1003,10062 Enginyeria Informàtica,103806 Fonaments d'Informàtica - 41,66
15/09/2023,08:30,15/09/2023,10:30,2,Q5/1011,10062 Enginyeria Informàtica,102783 Anàlisi i Disseny d'Algorismes - 440,42
15/09/2023,08:30,15/09/2023,10:30,2,Q1/1007,10062 Enginyeria Informàtica,102740 Sistemes Distribuïts - 450,81
15/09/2023,08:30,15/09/2023,10:30,2,Q2/1009,10062 Enginyeria Informàtica,103803 Estadística - 43,65
15/09/2023,09:30,15/09/2023,10:30,1,Q1/1003,10062 Enginyeria Informàtica,102771 Electricitat i Electrònica - 41,76
15/09/2023,10:30,15/09/2023,11:30, ,Q1/1003,10062 Enginyeria Informàtica,103806 Fonaments d'Informàtica - 43,70
15/09/2023,10:30,15/09/2023,12:30,2,Q5/1011,10062 Enginyeria Informàtica,102783 Anàlisi i Disseny d'Algorismes - 441,38
15/09/2023,10:30,15/09/2023,12:30,2,Q3/0003,10062 Enginyeria Informàtica,103803 Estadística - 41,67
15/09/2023,10:30,15/09/2023,12:30, ,Q4/1003,10062 Enginyeria Informàtica,102741 Gestió i Administració de Bases de Dades - 421,Sense grup de matricula
15/09/2023,10:30,15/09/2023,12:30,2,QC/0011,10062 Enginyeria Informàtica,105073 Tecnologies de Compressió de la Informació - 450,20
15/09/2023,11:30,15/09/2023,12:30, ,Q2/1003,10062 Enginyeria Informàtica,102752 Sistemes d'Informació - 451,Sense grup de matricula
15/09/2023,11:30,15/09/2023,12:30,1,Q1/1003,10062 Enginyeria Informàtica,102771 Electricitat i Electrònica - 43,78
15/09/2023,12:30,15/09/2023,13:30, ,Q2/1003,10062 Enginyeria Informàtica,102752 Sistemes d'Informació - 452,Sense grup de matricula
15/09/2023,12:30,15/09/2023,14:30, ,Q4/1009,10062 Enginyeria Informàtica,102741 Gestió i Administració de Bases de Dades - 422,Sense grup de matricula
15/09/2023,12:30,15/09/2023,14:30, ,Q1/1003,10062 Enginyeria Informàtica,102740 Sistemes Distribuïts - 430,48
15/09/2023,13:30,15/09/2023,14:30, ,Q2/1003,10062 Enginyeria Informàtica,102752 Sistemes d'Informació - 453,Sense grup de matricula
15/09/2023,15:00,15/09/2023,16:00,1,Q2/1013,10062 Enginyeria Informàtica,102771 Electricitat i Electrònica - 45,59
15/09/2023,15:00,15/09/2023,17:00,2,Q3/0003,10062 Enginyeria Informàtica,103803 Estadística - 45,51
15/09/2023,16:00,15/09/2023,17:00,1,Q2/1009,10062 Enginyeria Informàtica,103806 Fonaments d'Informàtica - 47,63
15/09/2023,16:00,15/09/2023,17:00,1,Q2/1013,10062 Enginyeria Informàtica,103806 Fonaments d'Informàtica - 45,53
18/09/2023,08:30,18/09/2023,10:30, ,Q4/0007,10062 Enginyeria Informàtica,102742 Tecnologies de Desenvolupament per a Internet i web - 410,83
18/09/2023,08:30,18/09/2023,10:30, ,Q5/1011,10062 Enginyeria Informàtica,102753 Visualització Gràfica Interactiva - 440,37
18/09/2023,08:30,18/09/2023,10:30, ,Q1/0019,10062 Enginyeria Informàtica,102744 Bases de Dades - 411,45
18/09/2023,08:30,18/09/2023,10:30, ,Q1/1007,10062 Enginyeria Informàtica,102773 Fonaments de Tecnologia de la Informació - 450,93
