start date,start time,end date,end time,unk,class Id,Estudi,Codi_Ass + Assignatura,grup matricula
11/09/2024,12:30,11/09/2024,14:30,2,Q1/1003,10062 Enginyeria Informàtica,102759 Disseny de Software - 420,74
11/09/2024,13:30,11/09/2024,14:30,1,Q3/0013,10062 Enginyeria Informàtica,102742 Tecnologies de Desenvolupament per a Internet i web - 414,Sense grup de matricula
11/09/2024,13:30,11/09/2024,14:30, ,Q1/0007,10062 Enginyeria Informàtica,103806 Fonaments d'Informàtica - 432,Sense grup de matricula
11/09/2024,13:30,11/09/2024,14:30,1,Q2/1003,10062 Enginyeria Informàtica,102771 Electricitat i Electrònica - 431,Sense grup de matricula
11/09/2024,15:00,11/09/2024,16:00,1,Q1/0007,10062 Enginyeria Informàtica,103806 Fonaments d'Informàtica - 451,Sense grup de matricula
11/09/2024,15:00,11/09/2024,16:00,1,Q2/1013,10062 Enginyeria Informàtica,102771 Electricitat i Electrònica - 452,Sense grup de matricula
11/09/2024,15:00,11/09/2024,17:00,2,Q1/0019,10062 Enginyeria Informàtica,102744 Bases de Dades - 451,42
11/09/2024,15:00,11/09/2024,17:00,2,Q2/1003,10062 Enginyeria Informàtica,102744 Bases de Dades - 452,29
11/09/2024,16:00,11/09/2024,17:00,1,Q2/1013,10062 Enginyeria Informàtica,102771 Electricitat i Electrònica - 451,Sense grup de matricula
11/09/2024,16:00,11/09/2024,17:00, ,Q1/0007,10062 Enginyeria Informàtica,103806 Fonaments d'Informàtica - 452,Sense grup de matricula
11/09/2024,16:00,11/09/2024,17:00,1,Q3/0013,10062 Enginyeria Informàtica,103806 Fonaments d'Informàtica - 471,Sense grup de matricula
11/09/2024,16:00,11/09/2024,17:00, ,Q3/0009,10062 Enginyeria Informàtica,102742 Tecnologies de Desenvolupament per a Internet i web - 415,Sense grup de matricula
11/09/2024,17:00,11/09/2024,18:00, ,Q3/0009,10062 Enginyeria Informàtica,102742 Tecnologies de Desenvolupament per a Internet i web - 416,Sense grup de matricula
11/09/2024,17:00,11/09/2024,19:00, ,Q3/0003,10062 Enginyeria Informàtica,102747 Sistemes Operatius - 45,78
11/09/2024,17:00,11/09/2024,19:00,2,Q2/1013,10062 Enginyeria Informàtica,103801 Àlgebra - 45,91
11/09/2024,18:00,11/09/2024,19:00, ,Q3/0009,10062 Enginyeria Informàtica,102742 Tecnologies de Desenvolupament per a Internet i web - 417,Sense grup de matricula
12/09/2024,08:30,12/09/2024,09:30, ,Q3/0009,10062 Enginyeria Informàtica,102759 Disseny de Software - 422,Sense grup de matricula
12/09/2024,08:30,12/09/2024,09:30,1,Q4/1003,10062 Enginyeria Informàtica,102763 Requisits del Software - 421,Sense grup de matricula
12/09/2024,08:30,12/09/2024,10:30,2,Q4/0007,10062 Enginyeria Informàtica,102760 Gestió de Projectes - 410,105
12/09/2024,08:30,12/09/2024,10:30,2,Q2/1003,10062 Enginyeria Informàtica,103805 Fonaments d'Enginyeria - 412,38
12/09/2024,08:30,12/09/2024,10:30,2,Q1/0007,10062 Enginyeria Informàtica,102767 Laboratori de Programació - 431,38
12/09/2024,08:30,12/09/2024,10:30,2,Q3/0007,10062 Enginyeria Informàtica,102760 Gestió de Projectes - 414,22
12/09/2024,08:30,12/09/2024,10:30,2,Q2/1005,10062 Enginyeria Informàtica,103805 Fonaments d'Enginyeria - 411,40
12/09/2024,08:30,12/09/2024,10:30, ,Q1/1007,10062 Enginyeria Informàtica,102791 Sistemes Encastats - 430,80
12/09/2024,08:30,12/09/2024,10:30,2,Q2/1013,10062 Enginyeria Informàtica,102753 Visualització Gràfica Interactiva - 440,39
12/09/2024,08:30,12/09/2024,10:30, ,Q1/0019,10062 Enginyeria Informàtica,102767 Laboratori de Programació - 432,39
12/09/2024,08:30,12/09/2024,10:30,2,Q2/1009,10062 Enginyeria Informàtica,102774 Estructura de Computadors - 41,66
12/09/2024,09:30,12/09/2024,10:30,1,Q4/1003,10062 Enginyeria Informàtica,102759 Disseny de Software - 421,Sense grup de matricula
12/09/2024,09:30,12/09/2024,10:30, ,Q3/0009,10062 Enginyeria Informàtica,102763 Requisits del Software - 422,Sense grup de matricula
12/09/2024,10:30,12/09/2024,12:30,2,Q4/0007,10062 Enginyeria Informàtica,102760 Gestió de Projectes - 415,93
12/09/2024,10:30,12/09/2024,12:30,2,Q4/1009,10062 Enginyeria Informàtica,102767 Laboratori de Programació - 413,16
12/09/2024,10:30,12/09/2024,12:30,2,Q3/0007,10062 Enginyeria Informàtica,102760 Gestió de Projectes - 415,20
12/09/2024,10:30,12/09/2024,12:30, ,Q4/1003,10062 Enginyeria Informàtica,102776 Gestió i Administració de Xarxes - 430,42
12/09/2024,10:30,12/09/2024,12:30,2,Q2/1005,10062 Enginyeria Informàtica,103805 Fonaments d'Enginyeria - 432,39
12/09/2024,10:30,12/09/2024,12:30,2,Q1/1003,10062 Enginyeria Informàtica,102774 Estructura de Computadors - 43,75
12/09/2024,10:30,12/09/2024,12:30,2,Q3/0003,10062 Enginyeria Informàtica,102758 Test i Qualitat del Software - 420,108
12/09/2024,10:30,12/09/2024,12:30, ,Q1/0007,10062 Enginyeria Informàtica,102767 Laboratori de Programació - 411,36
12/09/2024,10:30,12/09/2024,12:30, ,Q1/1007,10062 Enginyeria Informàtica,"102786 Coneixement, Raonament i Incertesa - 440",75
12/09/2024,10:30,12/09/2024,12:30,2,Q2/1003,10062 Enginyeria Informàtica,103805 Fonaments d'Enginyeria - 431,34
12/09/2024,12:30,12/09/2024,13:30, ,Q1/1007,10062 Enginyeria Informàtica,102773 Fonaments de Tecnologia de la Informació - 451,Sense grup de matricula
12/09/2024,12:30,12/09/2024,13:30, ,Q3/0013,10062 Enginyeria Informàtica,102759 Disseny de Software - 452,Sense grup de matricula
12/09/2024,12:30,12/09/2024,14:30, ,Q5/1011,10062 Enginyeria Informàtica,102753 Visualització Gràfica Interactiva - 441,37
12/09/2024,12:30,12/09/2024,14:30, ,Q4/1013,10062 Enginyeria Informàtica,102762 Anglès Professional I - 410,38
12/09/2024,12:30,12/09/2024,14:30, ,Q1/0007,10062 Enginyeria Informàtica,102767 Laboratori de Programació - 433,27
12/09/2024,12:30,12/09/2024,14:30, ,Q2/1003,10062 Enginyeria Informàtica,102767 Laboratori de Programació - 412,36
12/09/2024,13:30,12/09/2024,14:30,1,Q1/1007,10062 Enginyeria Informàtica,102759 Disseny de Software - 451,Sense grup de matricula
12/09/2024,13:30,12/09/2024,14:30,1,Q3/0013,10062 Enginyeria Informàtica,102773 Fonaments de Tecnologia de la Informació - 452,Sense grup de matricula
12/09/2024,15:00,12/09/2024,17:00,2,Q3/0003,10062 Enginyeria Informàtica,102774 Estructura de Computadors - 45,27
12/09/2024,15:00,12/09/2024,17:00,2,Q3/0007,10062 Enginyeria Informàtica,102760 Gestió de Projectes - 417,20
12/09/2024,15:00,12/09/2024,17:00,2,Q2/1003,10062 Enginyeria Informàtica,103805 Fonaments d'Enginyeria - 451,50
12/09/2024,17:00,12/09/2024,19:00, ,Q1/0007,10062 Enginyeria Informàtica,102767 Laboratori de Programació - 452,32
12/09/2024,17:00,12/09/2024,19:00,2,Q1/0019,10062 Enginyeria Informàtica,102767 Laboratori de Programació - 451,41
13/09/2024,08:30,13/09/2024,09:30, ,Q1/1003,10062 Enginyeria Informàtica,103806 Fonaments d'Informàtica - 41,68
13/09/2024,08:30,13/09/2024,10:30,2,Q2/1009,10062 Enginyeria Informàtica,103803 Estadística - 41,65
13/09/2024,08:30,13/09/2024,10:30, ,Q5/1011,10062 Enginyeria Informàtica,102783 Anàlisi i Disseny d'Algorismes - 440,44
13/09/2024,08:30,13/09/2024,10:30,2,Q1/1007,10062 Enginyeria Informàtica,102740 Sistemes Distribuïts - 450,77
13/09/2024,09:30,13/09/2024,10:30,1,Q1/1003,10062 Enginyeria Informàtica,102771 Electricitat i Electrònica - 41,74
13/09/2024,10:30,13/09/2024,11:30, ,Q1/1003,10062 Enginyeria Informàtica,103806 Fonaments d'Informàtica - 43,70
13/09/2024,10:30,13/09/2024,12:30, ,Q4/1003,10062 Enginyeria Informàtica,102741 Gestió i Administració de Bases de Dades - 421,Sense grup de matricula
13/09/2024,10:30,13/09/2024,12:30,2,QC/0011,10062 Enginyeria Informàtica,105073 Tecnologies de Compressió de la Informació - 450,18
13/09/2024,10:30,13/09/2024,12:30, ,Q5/1011,10062 Enginyeria Informàtica,102783 Anàlisi i Disseny d'Algorismes - 441,42
13/09/2024,10:30,13/09/2024,12:30,2,Q3/0003,10062 Enginyeria Informàtica,103803 Estadística - 43,68
13/09/2024,11:30,13/09/2024,12:30,1,Q1/1003,10062 Enginyeria Informàtica,102771 Electricitat i Electrònica - 43,74
13/09/2024,11:30,13/09/2024,12:30,1,Q2/1003,10062 Enginyeria Informàtica,102752 Sistemes d'Informació - 451,Sense grup de matricula
13/09/2024,12:30,13/09/2024,13:30,1,Q2/1003,10062 Enginyeria Informàtica,102752 Sistemes d'Informació - 452,Sense grup de matricula
13/09/2024,12:30,13/09/2024,14:30, ,Q1/1003,10062 Enginyeria Informàtica,102740 Sistemes Distribuïts - 430,53
13/09/2024,12:30,13/09/2024,14:30, ,Q4/1009,10062 Enginyeria Informàtica,102741 Gestió i Administració de Bases de Dades - 422,Sense grup de matricula
13/09/2024,13:30,13/09/2024,14:30, ,Q2/1003,10062 Enginyeria Informàtica,102752 Sistemes d'Informació - 453,Sense grup de matricula
13/09/2024,15:00,13/09/2024,16:00,1,Q3/0003,10062 Enginyeria Informàtica,102771 Electricitat i Electrònica - 45,72
13/09/2024,15:00,13/09/2024,17:00,2,Q4/0003,10062 Enginyeria Informàtica,103803 Estadística - 45,34
13/09/2024,16:00,13/09/2024,17:00, ,Q3/0003,10062 Enginyeria Informàtica,103806 Fonaments d'Informàtica - 45,105
16/09/2024,08:30,16/09/2024,10:30, ,Q1/1003,10062 Enginyeria Informàtica,103806 Fonaments d'Informàtica - 41,68
16/09/2024,08:30,16/09/2024,10:30, ,Q1/1007,10062 Enginyeria Informàtica,102773 Fonaments de Tecnologia de la Informació - 450,99
16/09/2024,08:30,16/09/2024,10:30,2,Q5/1011,10062 Enginyeria Informàtica,102753 Visualització Gràfica Interactiva - 440,39
16/09/2024,08:30,16/09/2024,10:30, ,Q4/1003,10062 Enginyeria Informàtica,105075 Internet de les Coses - 410,38
16/09/2024,08:30,16/09/2024,10:30,2,Q1/0019,10062 Enginyeria Informàtica,102744 Bases de Dades - 431,42
16/09/2024,08:30,16/09/2024,10:30,2,Q4/0007,10062 Enginyeria Informàtica,102742 Tecnologies de Desenvolupament per a Internet i web - 410,82
16/09/2024,08:30,16/09/2024,10:30,2,Q2/1005,10062 Enginyeria Informàtica,103805 Fonaments d'Enginyeria - 431,34
16/09/2024,09:30,16/09/2024,10:30,1,Q3/0009,10062 Enginyeria Informàtica,102747 Sistemes Operatius - 432,Sense grup de matricula
