CODI_IND,Assignatura,GRUP,codi assignatura,Curs,Titulació,Sexe Docent,Campus,Horari,TIPOLOGIA,Matrícules-Assignatura,MH,EX,NOT,AP,SUS,NP,Taxa de rendiment,Taxa d'èxit,Taxa_exc,S11,S12,S13,S14,S15,PS1,SS1,S21,S22,S23,S24,S25,PS2,SS2,S31,S32,S33,S34,S35,PS3,SS3,S41,S42,S43,S44,S45,PS4,SS4,Num_sessions,PAS1,PAS2,PAS3,PAS4,PASTOT,PAB1,PAB2,PAB3,PAB4,PABTOT
1023081,Econometria I,1,102308,2,ECO,M,Bellaterra,mati,1,84,1,0,17,43,19,4,0.726,0.763,0.214,,35,,,,35,1,,41,,76,,58.5,2,,22,,21,,21.5,2,,21,,15,,18,2,7,0.417,0.696,0.256,0.214,0.396,0.583,0.304,0.744,0.786,0.604
1023082,Econometria I,2,102308,2,ADE,F,Bellaterra,mati,1,86,1,1,38,39,4,3,0.919,0.952,0.465,,,66,,,66,1,,,82,,,82,1,,,55,,,55,1,,,,,,,0,3,0.767,0.953,0.64,,0.787,0.233,0.047,0.36,,0.213
1023084,Econometria I,4,102308,2,ADE anglés,F,Bellaterra,mati,1,70,0,0,4,44,21,0,0.686,0.686,0.057,,,34,,,34,1,,,27,,,27,1,,,12,,,12,1,,,,,,,0,3,0.486,0.386,0.171,,0.348,0.514,0.614,0.829,,0.652
10230851,Econometria I,51,102308,2,ECO,F,Bellaterra,tarda,1,60,0,0,4,28,21,6,0.533,0.593,0.067,,34,,,,34,1,,,,,,,0,,,,,,,0,,,,,,,0,1,0.567,,,,0.567,0.433,,,,0.433
10230852,Econometria I,52,102308,2,ADE,F,Bellaterra,tarda,1,88,0,0,4,68,9,7,0.818,0.889,0.045,,,33,,,33,1,,,,,,,0,,,,,,,0,,,,,,,0,1,0.375,,,,0.375,0.625,,,,0.625
1023088,Econometria I,8,102308,2,ECO anglés,M,Bellaterra,mati,1,43,2,2,7,20,9,3,0.721,0.775,0.256,,28,,,,28,1,,30,,,,30,1,,18,,,,18,1,,24,,,,24,1,4,0.651,0.698,0.419,0.558,0.581,0.349,0.302,0.581,0.442,0.419
10234360,Economia de l'empresa I,60,102343,1,ADE+Dret,M,Bellaterra,mati,0,76,3,2,42,27,1,1,0.974,0.987,0.618,,65,,,,65,1,,72,,,,72,1,,64,,,68,66,2,,,,,,,0,4,0.855,0.947,0.868,,0.89,0.145,0.053,0.132,,0.11
1024541,Economia del sector públic,1,102454,2,ECO,M,Bellaterra,mati,0,84,0,0,17,52,9,5,0.821,0.873,0.202,,,,,,,0,,52,,,,52,1,,32,,53,,42.5,2,,53,,50,,51.5,2,5,,0.619,0.506,0.613,0.579,,0.381,0.494,0.387,0.421
10245451,Economia del sector públic,51,102454,2,ECO,F,Bellaterra,tarda,0,43,1,0,6,23,10,3,0.698,0.75,0.163,,,,26,,26,1,,12,,,,12,1,,20,,24,,22,2,,26,,26,,26,2,6,0.605,0.279,0.512,0.605,0.5,0.395,0.721,0.488,0.395,0.5
1024548,Economia del sector públic,8,102454,2,ECO anglés,F,Bellaterra,mati,0,56,3,0,8,12,20,13,0.411,0.535,0.196,,,,21,,21,1,,,,23,,23,1,,,,18,,18,1,,,,20,,20,1,4,0.375,0.411,0.321,0.357,0.366,0.625,0.589,0.679,0.643,0.634
1023871,Economia Internacional,1,102387,1,ECO,M,Bellaterra,mati,0,89,5,3,22,44,8,7,0.831,0.902,0.337,,66,,,,66,1,,63,,,,63,1,,37,,,,37,1,,57,,50,,53.5,2,5,0.742,0.708,0.416,0.601,0.617,0.258,0.292,0.584,0.399,0.383
10214310,Economia internacional,10,102143,1,CIF,F,Sabadell,mati,0,113,0,2,16,56,38,1,0.655,0.661,0.159,,,70,,,70,1,,,,,,,0,,,,,,,0,,,,,,,0,1,0.619,,,,0.619,0.381,,,,0.381
1023872,Economia Internacional,2,102387,1,ADE,M,Bellaterra,mati,0,96,2,2,24,58,4,6,0.896,0.956,0.292,,,68,,,68,1,,,52,,,52,1,,,48,,,48,1,,,,,32,32,1,4,0.708,0.542,0.5,0.333,0.521,0.292,0.458,0.5,0.667,0.479
10214320,Economia internacional,20,102143,1,EIT,M,Sabadell,mati,0,84,1,0,11,42,26,4,0.643,0.675,0.143,,,57,,,57,1,,,31,,,31,1,38,,,,,38,1,,,18,,,18,1,4,0.679,0.369,0.452,0.214,0.429,0.321,0.631,0.548,0.786,0.571
1023874,Economia Internacional,4,102387,1,ADE anglés,M,Bellaterra,mati,0,80,0,1,25,36,13,5,0.775,0.827,0.325,,,39,,,39,1,,,30,,,30,1,,,43,,,43,1,,,24,,,24,1,4,0.488,0.375,0.538,0.3,0.425,0.513,0.625,0.463,0.7,0.575
10214350,Economia internacional,50,102143,1,CIF,M,Sabadell,tarda,0,66,0,0,8,51,4,3,0.894,0.937,0.121,,,60,,,60,1,25,,,,,25,1,25,,20,,,22.5,2,,,20,,,20,1,5,0.909,0.379,0.341,0.303,0.483,0.091,0.621,0.659,0.697,0.517
10238751,Economia Internacional,51,102387,1,ECO,M,Bellaterra,tarda,0,65,1,0,13,31,17,3,0.692,0.726,0.215,,50,,,,50,1,,36,,,,36,1,,20,,30,,25,2,,25,,,,25,1,5,0.769,0.554,0.385,0.385,0.523,0.231,0.446,0.615,0.615,0.477
10238752,Economia Internacional,52,102387,1,ADE,F,Bellaterra,tarda,0,83,0,1,15,52,12,3,0.819,0.85,0.193,,,,,,,0,,,45,,,45,1,,,31,,,31,1,,,,,,,0,2,,0.542,0.373,,0.458,,0.458,0.627,,0.542
1023878,Economia internacional,8,102387,1,ECO anglés,F,Bellaterra,mati,0,63,3,4,24,21,10,1,0.825,0.839,0.492,,44,,,,44,1,,24,,,,24,1,,32,,,,32,1,,28,,,,28,1,4,0.698,0.381,0.508,0.444,0.508,0.302,0.619,0.492,0.556,0.492
1023021,Economia sectorial,1,102302,2,ECO,F,Bellaterra,mati,0,81,0,0,5,54,18,4,0.728,0.766,0.062,,,52,,,52,1,,,,,40,40,1,,,,,,,0,,,,,,,0,2,0.642,0.494,,,0.568,0.358,0.506,,,0.432
1023028,Economia sectorial,8,102302,2,ECO anglés,M,Bellaterra,mati,0,42,2,1,7,20,9,3,0.714,0.769,0.238,,,28,,,28,1,,,25,,,25,1,,,20,,,20,1,,,12,,,12,1,4,0.667,0.595,0.476,0.286,0.506,0.333,0.405,0.524,0.714,0.494
1023861,Estadística I,1,102386,1,ECO,F,Bellaterra,mati,1,86,1,1,19,44,15,6,0.756,0.813,0.244,,,,,70,70,1,,,,,,,0,,,,,43,43,1,56,,,,38,47,2,4,0.814,,0.5,0.547,0.62,0.186,,0.5,0.453,0.38
10211510,Estadística I,10,102115,1,CIF,M,Sabadell,mati,1,99,7,0,21,48,14,9,0.768,0.844,0.283,,,,,60,60,1,,,83,,45,64,2,,,50,,37,43.5,2,,,32,,25,28.5,2,7,0.606,0.646,0.439,0.288,0.495,0.394,0.354,0.561,0.712,0.505
1023862,Estadística I,2,102386,1,ADE,M,Bellaterra,mati,1,91,4,1,37,39,5,5,0.89,0.942,0.462,,,,56,,56,1,,,,56,,56,1,,,,56,,56,1,,,,56,,56,1,4,0.615,0.615,0.615,0.615,0.615,0.385,0.385,0.385,0.385,0.385
10211520,Estadística I,20,102115,1,EIT,M,Sabadell,mati,1,88,3,7,31,35,12,0,0.864,0.864,0.466,,,,,49,49,1,,,,,,,0,,,,,,,0,,,,,,,0,1,0.557,,,,0.557,0.443,,,,0.443
1023864,Estadística I,4,102386,1,ADE anglés,F,Bellaterra,mati,1,74,4,6,33,20,8,3,0.851,0.887,0.581,,,,41,,41,1,,,,35,,35,1,,,,33,,33,1,,,,34,,34,1,4,0.554,0.473,0.446,0.459,0.483,0.446,0.527,0.554,0.541,0.517
10211550,Estadística I,50,102115,1,CIF,M,Sabadell,tarda,1,69,1,0,15,32,13,8,0.696,0.787,0.232,,,,,48,48,1,,,57,,,57,1,,,35,,,35,1,,,,,40,40,1,4,0.696,0.826,0.507,0.58,0.652,0.304,0.174,0.493,0.42,0.348
10238651,Estadística I,51,102386,1,ECO,M,Bellaterra,tarda,1,75,0,0,17,39,16,2,0.747,0.767,0.227,,,,,33,33,1,,,,,,,0,,,,,,,0,15,,,,,15,1,2,0.44,,,0.2,0.32,0.56,,,0.8,0.68
10238652,Estadística I,52,102386,1,ADE,F,Bellaterra,tarda,1,81,0,0,8,37,26,10,0.556,0.634,0.099,,,,56,,56,1,,59,,29,,44,2,,19,,31,,25,2,,12,,14,,13,2,7,0.691,0.543,0.309,0.16,0.426,0.309,0.457,0.691,0.84,0.574
10238660,Estadística I,60,102386,2,ADE+Dret,M,Bellaterra,mati,1,79,5,7,45,17,2,3,0.937,0.974,0.722,,52,,,,52,1,,43,,,,43,1,,14,,,,14,1,,37,,,,37,1,4,0.658,0.544,0.177,0.468,0.462,0.342,0.456,0.823,0.532,0.538
1023868,Estadística I,8,102386,1,ECO anglés,F,Bellaterra,mati,1,52,3,4,22,13,7,3,0.808,0.857,0.558,35,,,,,35,1,26,,,,,26,1,29,,,,,29,1,18,,,,,18,1,4,0.673,0.5,0.558,0.346,0.519,0.327,0.5,0.442,0.654,0.481
10576810,Finances corporatives,10,105768,3,CIF,M,Sabadell,mati,1,69,3,23,40,2,0,1,0.986,1,0.957,,,31,,,31,1,,,,,,,0,,,,,,,0,,,,,,,0,1,0.449,,,,0.449,0.551,,,,0.551
10576850,Finances corporatives,50,105768,3,CIF,M,Sabadell,tarda,1,42,2,1,16,19,0,4,0.905,1,0.452,,,30,,,30,1,,,20,,,20,1,24,,27,,,25.5,2,,,,,,,0,4,0.714,0.476,0.607,,0.599,0.286,0.524,0.393,,0.401
10211210,Finances I,10,102112,2,CIF,M,Bellaterra,mati,1,64,3,2,42,15,2,0,0.969,0.969,0.734,54,,54,,,54,2,,,57,,,57,1,54,,52,,,53,2,,,52,,,52,1,6,0.844,0.891,0.828,0.813,0.844,0.156,0.109,0.172,0.188,0.156
10211250,Finances I,50,102112,2,CIF,M,Bellaterra,tarda,1,38,1,0,17,14,6,0,0.842,0.842,0.474,18,,26,,,22,2,25,,29,,,27,2,23,,26,,,24.5,2,,,27,,,27,1,7,0.579,0.711,0.645,0.711,0.661,0.421,0.289,0.355,0.289,0.339
1023282,Finances II,2,102328,3,ADE,M,Bellaterra,mati,1,57,5,1,9,19,14,7,0.596,0.68,0.263,,38,,,,38,1,,37,,,,37,1,,50,,,,50,1,,,,,,,0,3,0.667,0.649,0.877,,0.731,0.333,0.351,0.123,,0.269
1023284,Finances II,4,102328,3,ADE anglés,F,Bellaterra,mati,1,76,1,10,33,27,1,4,0.934,0.986,0.579,,42,,,,42,1,,44,,48,,46,2,,30,,45,,37.5,2,,43,,39,,41,2,7,0.553,0.605,0.493,0.539,0.548,0.447,0.395,0.507,0.461,0.452
10232852,Finances II,52,102328,3,ADE,F,Bellaterra,tarda,1,66,0,0,7,40,12,4,0.712,0.758,0.106,,19,,,,19,1,,,,,,,0,,16,,15,,15.5,2,,20,,22,,21,2,5,0.288,,0.235,0.318,0.28,0.712,,0.765,0.682,0.72
10232860,Finances II,60,102328,3,ADE+Dret,F,Bellaterra,mati,1,81,3,4,49,23,2,0,0.975,0.975,0.691,,,,,,,0,,,,,24,24,1,34,,,,29,31.5,2,,,,,33,33,1,4,,0.296,0.389,0.407,0.364,,0.704,0.611,0.593,0.636
1046511,Finances públiques,1,104651,3,ECO,F,Bellaterra,mati,1,52,2,3,24,21,1,1,0.962,0.98,0.558,35,,,,,35,1,31,,32,,,31.5,2,26,,29,,,27.5,2,23,,,,,23,1,6,0.673,0.606,0.529,0.442,0.563,0.327,0.394,0.471,0.558,0.438
10465151,Finances públiques,51,104651,3,ECO,M,Bellaterra,tarda,1,33,2,2,21,8,0,0,1,1,0.758,29,,,,,29,1,28,,,,,28,1,,,,,,,0,,,,,,,0,2,0.879,0.848,,,0.864,0.121,0.152,,,0.136
1046518,Finances públiques,8,104651,3,ECO anglés,M,Bellaterra,mati,1,57,2,3,11,19,19,3,0.614,0.648,0.281,36,,,,,36,1,35,,,,,35,1,34,,,,,34,1,24,,,,,24,1,4,0.632,0.614,0.596,0.421,0.566,0.368,0.386,0.404,0.579,0.434
10218020,Finances,20,102180,2,EIT,M,Sabadell,mati,1,92,2,8,31,37,6,7,0.848,0.918,0.446,,,,,54,54,1,,,,,,,0,,,55,,35,45,2,,,,,,,0,3,0.587,,0.489,,0.538,0.413,,0.511,,0.462
