Id Anonim PD,Categoria,Edat,Sexe,S/N Doctor,Dedicació Temps complet S/N,Antiguitat a la UAB (dies)
8848243A742218BDD516D5C9DD88129F,PROFESSOR/A SUBSTITUT/A,47,Home,S,N,7486
898FF3A72F94CC1F8CE6C5F469179A17,PROFESSOR/A LECTOR/A,44,Home,S,S,4886
8A2A5D4E560604F497891B209EA7192B,PROFESSOR/A SUBSTITUT/A,59,Home,N,N,789
8D6D31442F1CA20D7E741B948948150E,PROFESSOR/A SUBSTITUT/A,24,Home,N,N,211
8E895696EF7C7FB3B388BF1CBE4B9966,AGREGAT/ADA CONTRACTAT/ADA DOCTOR/A,52,Home,S,S,10355
8F81FA8534D98E0F3BBAF3BDA5A1C6C5,PROFESSOR/A TITULAR D'UNIVERSITAT,60,Home,S,S,14061
8FC6C55E1286828EF424CF6E4F4325A3,PROFESSOR/A ASSOCIAT/ADA LABORAL,56,Home,N,N,6025
8FE34962C5AC75E1B57F728340E35EEF,PROFESSOR/A TITULAR D'ESCOLES UNIVER,60,Home,N,S,13207
907290E557C616B6825E60D4044A6091,INVESTIGADOR PREDOCTORAL FORMACIÓ,29,Dona,N,S,1307
916D39F13C89187E0E9142A822FAB0A5,PROFESSOR/A SUBSTITUT/A,23,Dona,N,N,49
92B7752F999AF86C8BEF4AF414D5D96E,AGREGAT/ADA CONTRACTAT/ADA DOCTOR/A,39,Dona,S,S,4074
9350A3ED9834634A75E75CE346131524,PROFESSOR/A LECTOR/A,41,Home,S,S,2743
94460EBE3289387A86D97B4AA8EA6263,PROFESSOR/A TITULAR D'UNIVERSITAT,61,Home,S,S,14061
9499EECADAB18229A29ADA41AEA9E2B7,CATEDRATIC/A D'UNIVERSITAT,53,Dona,S,S,11155
958DD09B63A7E80617C6311CA664C9A2,PROFESSOR/A ASSOCIAT/ADA LABORAL,40,Home,N,N,5673
968102EFF04B012638857D87ACB6B8B1,PROFESSOR/A ASSOCIAT/ADA LABORAL,53,Home,N,N,1292
975055552CE7ABB4C1A82D967434850E,PROFESSOR/A LECTOR/A,46,Home,S,S,486
97B1AC47339018A3E432D8880091F22D,AGREGAT/ADA CONTRACTAT/ADA DOCTOR/A,50,Home,S,S,9585
98994D47DE5D3AA44187CF9D1FC47265,PROFESSOR/A ASSOCIAT/ADA LABORAL,57,Home,N,N,211
9AE0490F0330088E3FDAE360E31208E4,PROFESSOR/A ASSOCIAT/ADA LABORAL,27,Home,N,N,789
9C83371A5BE582D7F361B8D07CF04ECE,PROFESSOR/A TITULAR D'UNIVERSITAT,56,Home,S,S,12251
9D34A094ECDE83BFBADDF8090A6F57FD,AGREGAT/ADA CONTRACTAT/ADA DOCTOR/A,47,Home,S,S,8233
9D89E2B26BC39CA39F64E5A568FA2C45,PROFESSOR/A ASSOCIAT/ADA LABORAL,50,Home,N,N,2240
9DB527EA34718388204DE56E0119F875,AGREGAT/ADA CONTRACTAT/ADA DOCTOR/A,45,Home,S,S,6878
9E041AD63B8B5AEAE58015AFAE4E015A,PROFESSOR/A LECTOR/A,46,Dona,S,S,486
9F42511737ECEB930E5F4DAF7893C427,CATEDRATIC/A D'UNIVERSITAT,61,Home,S,S,12814
A07623C1F8AD04E49076874444217540,PROFESSOR/A ASSOCIAT/ADA LABORAL,37,Home,N,N,1519
A20AC3D4BA832D0ACD492EBA555E7742,PROFESSOR/A LECTOR/A,47,Home,S,S,2275
A4EE08038D8722BC938442F090D09A86,AGREGAT/ADA CONTRACTAT/ADA DOCTOR/A,51,Home,S,S,10243
A630084B00C44035229929FE6CB11DFE,CATEDRATIC/A D'UNIVERSITAT,59,Home,S,S,13330
A6A4908B06FD0F1D01BAFFC88F96747E,PROFESSOR/A SUBSTITUT/A,57,Home,N,N,11885
A6C5A93DB582ABDC98673562C1010B0E,PROFESSOR/A TITULAR D'UNIVERSITAT,58,Home,S,S,12965
A904791726EE49E8F7BA3D4641A00693,PROFESSOR/A ASSOCIAT/ADA LABORAL,61,Home,N,N,11105
A9BFC41CACA3E8064463199E4BEE1F7B,PROFESSOR/A ASSOCIAT/ADA LABORAL,34,Home,N,N,789
AA008BCCC99ED39B3EB01A0A1D8A5559,PROFESSOR/A ASSOCIAT/ADA LABORAL,45,Home,N,N,942
AA472730F49E03D8105C30042F72E4B4,CATEDRATIC/A D'UNIVERSITAT,68,Home,S,S,15340
ADD218DA6E6329FAC8755EA78004DEA1,PROFESSOR/A ASSOCIAT/ADA LABORAL,48,Home,N,N,7502
AF8370971AD8F7EB19E92D3CEECEC960,PROFESSOR/A LECTOR/A,51,Dona,S,S,9920
B15E2F41EA0CA37E94BBBC1022A9D28D,PROFESSOR/A ASSOCIAT/ADA LABORAL,37,Home,N,N,1519
B2FB3326965A4085191111AB6DCA950E,PROFESSOR/A ASSOCIAT/ADA LABORAL,31,Home,N,N,211
B56A5A98C89071B56B328E4FA51CB9F9,CATEDRÀTIC/A CONTRACTAT/ADA DOCTOR/A,52,Home,S,S,8081
B5B9B849FC7D60C361BA33013821B7F9,PROFESSOR/A TITULAR D'UNIVERSITAT,40,Home,S,S,4930
B6FDEA766737C2A3EB4EF1F92840AEFA,PROFESSOR/A TITULAR D'UNIVERSITAT,55,Home,S,S,11885
BA39122A95C5D521185AC9A2F4AEFC2F,PROFESSOR/A ASSOCIAT/ADA LABORAL,47,Home,N,N,923
BB2DF5082823F0208D89FE83F96FDCD3,PROFESSOR/A SUBSTITUT/A,30,Home,N,N,1154
BC8C57593883FD7683CB01A385774235,PROFESSOR/A ASSOCIAT/ADA LABORAL,53,Home,N,N,9694
C055F018122DB9509A99350F147C7603,PROFESSOR/A SUBSTITUT/A,52,Home,S,N,10059
C4E840D842F1220A545C5B1C34AA64DA,PROFESSOR/A ASSOCIAT/ADA LABORAL,33,Dona,N,N,3072
C4F0EBF7A7FA15CCE97E1C862E72D133,PROFESSOR/A ASSOCIAT/ADA LABORAL,48,Dona,S,N,2403
C52849557B69B4D05DD327B33BF4D840,AGREGAT/ADA CONTRACTAT/ADA DOCTOR/A,49,Home,S,S,2403
C7DFFF41298EECCEAEFABA0913A4EBBA,PROFESSOR/A ASSOCIAT/ADA LABORAL,47,Home,S,N,8233
C813D7407EF67F5908B5124B3F5AE4F9,PROFESSOR/A ASSOCIAT/ADA LABORAL,44,Home,N,N,2615
CBF458E3B043D30C98CE4417D74E4320,PROFESSOR/A ASSOCIAT/ADA LABORAL,34,Home,N,N,1491
D6FCE74EEB72447436FA204DC2522027,PROFESSOR/A ASSOCIAT/ADA LABORAL,27,Home,N,N,777
D845B1C796C792278ECC890BFD899594,CATEDRATIC/A D'UNIVERSITAT,57,Dona,S,S,12600
DC5862C32982EA9F50386736CDAB30D6,PROFESSOR/A ASSOCIAT/ADA LABORAL,44,Home,N,N,577
DEF3761466B014DF43FDF012D11BF5EE,PROFESSOR/A SUBSTITUT/A,32,Dona,N,N,175
DF7B5345352BA180BF61228EE58D40A6,PROFESSOR/A ASSOCIAT/ADA LABORAL,37,Dona,N,N,1519
E063C30D963F09CDD7CFD2625D6BE1B1,PROFESSOR/A ASSOCIAT/ADA LABORAL,26,Home,N,N,197
E1979C66B9834A044479AC479EF96178,PROFESSOR/A ASSOCIAT/ADA LABORAL,48,Home,N,N,2250
E3DEF7A6276F2F8A8BC22FF7B41D7389,PROFESSOR/A ASSOCIAT/ADA LABORAL,25,Dona,N,N,730
E864D301F94D76ED6DC7C7BAC141907B,PROFESSOR/A TITULAR D'UNIVERSITAT,46,Dona,S,S,7868
EC5D895B522EEE0DB4DDDE3C6DA17221,PROFESSOR/A ASSOCIAT/ADA LABORAL,44,Home,N,N,197
EC787BB23D1525FFD22C34674602EFD6,FORMACIO PERSONAL INVESTIGADOR FPI 1-2,28,Home,N,S,1307
EDF264AD8B0200D9E3FD3AC19ACBCCF2,PROFESSOR/A TITULAR D'UNIVERSITAT,41,Home,S,S,6756
EFE3D7C296941DDD31BAD2EFFBE4D7FF,PROFESSOR/A ASSOCIAT/ADA LABORAL,44,Dona,N,N,787
F0489BA0BFDCCEB489EC1273F9F7B7A4,PROFESSOR/A TITULAR D'UNIVERSITAT,53,Home,S,S,10760
F18E24B875269B95455EC1BE0A0F6584,PROFESSOR/A ASSOCIAT/ADA LABORAL,34,Home,N,N,2236
F2588DD54957523926E3E878DE59867D,PROFESSOR/A ASSOCIAT/ADA LABORAL,56,Dona,N,N,5629
F2EC213F782C9459FCD164000C85B98E,PROFESSOR/A ASSOCIAT/ADA LABORAL,28,Home,N,N,2387
F45ED80ACA48C08175ACBCD2A14101F9,PROFESSOR/A TITULAR D'UNIVERSITAT,59,Home,S,S,13330
F476CDDCA08E817289D4BFB0D409D354,PROFESSOR/A ASSOCIAT/ADA LABORAL,52,Home,N,N,5887
F4970F5BD07B83DFE52148586E52D553,AGREGAT/ADA CONTRACTAT/ADA DOCTOR/A,38,Home,S,S,4930
F728DE606E3EC59EF3F99DA96C3CE788,PROFESSOR/A TITULAR D'UNIVERSITAT,54,Home,S,S,8945
F8048FAC833229318DB6870540F23B7B,PROFESSOR/A SUBSTITUT/A,54,Home,N,N,942
F87056FAF9477C07421E2502F7A0B634,CATEDRATIC/A D'UNIVERSITAT,65,Dona,S,S,15887
F9EBA0BE6E36513431CA90B76C8BC1B9,PERSONAL INVESTIGADOR POSTDOCTORAL PR,33,Home,N,S,789
FBB1D0AA8EB214A2CE4AEC289A3C6B6D,AGREGAT/ADA CONTRACTAT/ADA DOCTOR/A,55,Dona,S,S,11155
FF5E549C006AE2257F338EDCA5C77AB5,CATEDRATIC/A D'UNIVERSITAT,55,Home,S,S,11885
A132A7BF2520684BD2228510DB0D487F,PROFESSOR/A ASSOCIAT/ADA LABORAL,37,Dona,S,N,4348
D8E98339DF24F5EE9599304E2985D448,PROFESSOR/A SUBSTITUT/A,32,Home,N,N,121
