Curs acadèmic,Estudi,Id Anònim PD,Codi_Ass,Assignatura,Hores professor Totals
2024/25,Graduat en Enginyeria Informàtica,6E056F2C84928F878649E23C352201AB,103805,Fonaments d'Enginyeria,"115,85"
2024/25,Graduat en Enginyeria Informàtica,27408A1ECACCF09DB347F0937A44DEF9,102774,Estructura de Computadors,"177,36"
2024/25,Graduat en Enginyeria Informàtica,A07623C1F8AD04E49076874444217540,102790,Arquitectura i Tecnologies de Software,"216,66"
2024/25,Graduat en Enginyeria Informàtica,7A0ECF6B42F67191A6D11A27CC26A2DF,102764,Metodologia de la Programació,167
2024/25,Graduat en Enginyeria Informàtica,968102EFF04B012638857D87ACB6B8B1,102765,Fonaments Dels Computadors,"97,56"
2024/25,Graduat en Enginyeria Informàtica,968102EFF04B012638857D87ACB6B8B1,102760,Gestió de Projectes,"24,36"
2024/25,Graduat en Enginyeria Informàtica,35546FE150214A15830166D1240BE2DB,102769,Informació i Seguretat,"219,81"
2024/25,Graduat en Enginyeria Informàtica,8D6D31442F1CA20D7E741B948948150E,102742,Tecnologies de Desenvolupament per a Internet i web,"182,56"
2024/25,Graduat en Enginyeria Informàtica,D8E98339DF24F5EE9599304E2985D448,103803,Estadística,"90,72"
2024/25,Graduat en Enginyeria Informàtica,7CEA091A052DFBBA6D425134C9EE1E07,102767,Laboratori de Programació,170
2024/25,Graduat en Enginyeria Informàtica,1936A3123CEE3B740C585707CD472CC6,102769,Informació i Seguretat,"127,14"
2024/25,Graduat en Enginyeria Informàtica,1936A3123CEE3B740C585707CD472CC6,106542,Treball de Final de Grau,"15,69"
2024/25,Graduat en Enginyeria Informàtica,E864D301F94D76ED6DC7C7BAC141907B,106542,Treball de Final de Grau,"23,54"
2024/25,Graduat en Enginyeria Informàtica,2BB2A84A4015E19B37CC39BAA5BB31D1,103802,Càlcul,"48,75"
2024/25,Graduat en Enginyeria Informàtica,8A2A5D4E560604F497891B209EA7192B,103807,Organització i Gestió d'Empreses,"190,8"
2024/25,Graduat en Enginyeria Informàtica,0EA29688D6B65B08A71583C223402CE6,103801,Àlgebra,"176,4"
2024/25,Graduat en Enginyeria Informàtica,C7DFFF41298EECCEAEFABA0913A4EBBA,102786,"Coneixement, Raonament i Incertesa","79,08"
2024/25,Graduat en Enginyeria Informàtica,C7DFFF41298EECCEAEFABA0913A4EBBA,102768,Intel·ligència Artificial,"71,85"
2024/25,Graduat en Enginyeria Informàtica,9D89E2B26BC39CA39F64E5A568FA2C45,102785,"Robòtica, Llenguatge i Planificació","96,25"
2024/25,Graduat en Enginyeria Informàtica,C4F0EBF7A7FA15CCE97E1C862E72D133,103802,Càlcul,"146,25"
2024/25,Graduat en Enginyeria Informàtica,C4F0EBF7A7FA15CCE97E1C862E72D133,103803,Estadística,"156,36"
2024/25,Graduat en Enginyeria Informàtica,EC787BB23D1525FFD22C34674602EFD6,103802,Càlcul,"28,45"
2024/25,Graduat en Enginyeria Informàtica,C4E840D842F1220A545C5B1C34AA64DA,103806,Fonaments d'Informàtica,"36,27"
2024/25,Graduat en Enginyeria Informàtica,9DB527EA34718388204DE56E0119F875,102757,Garantia de la Informació i Seguretat,"134,66"
2024/25,Graduat en Enginyeria Informàtica,9DB527EA34718388204DE56E0119F875,102746,Xarxes,"151,34"
2024/25,Graduat en Enginyeria Informàtica,02C466C2584DDF17501FE40304F8B7C1,102772,Matemàtica Discreta,"160,06"
2024/25,Graduat en Enginyeria Informàtica,02C466C2584DDF17501FE40304F8B7C1,106542,Treball de Final de Grau,"15,69"
2024/25,Graduat en Enginyeria Informàtica,37DA5C908F9E8686D05E6D4ACCF25717,102771,Electricitat i Electrònica,"25,2"
2024/25,Graduat en Enginyeria Informàtica,B2FB3326965A4085191111AB6DCA950E,102790,Arquitectura i Tecnologies de Software,"60,64"
2024/25,Graduat en Enginyeria Informàtica,B2FB3326965A4085191111AB6DCA950E,103806,Fonaments d'Informàtica,"202,98"
2024/25,Graduat en Enginyeria Informàtica,D6FCE74EEB72447436FA204DC2522027,103803,Estadística,"59,28"
2024/25,Graduat en Enginyeria Informàtica,0F7B23C6567B13DE49F5CFDC5FF99D62,102786,"Coneixement, Raonament i Incertesa","114,92"
2024/25,Graduat en Enginyeria Informàtica,15DBB0DCB8B0AC5A43CB2351EF0D30E2,102744,Bases de Dades,"68,6"
2024/25,Graduat en Enginyeria Informàtica,34210F43B30A6631D913F704DA7BD37E,102787,Aprenentatge Computacional,"95,18"
2024/25,Graduat en Enginyeria Informàtica,827536B047C7EB4378D007DFB5C8B811,102760,Gestió de Projectes,"147,94"
2024/25,Graduat en Enginyeria Informàtica,1BCD0AB316129E7B2BBE8C5FE2CE9342,102759,Disseny de Software,"34,72"
2024/25,Graduat en Enginyeria Informàtica,1BCD0AB316129E7B2BBE8C5FE2CE9342,102788,Laboratori Integrat de Software,"285,59"
2024/25,Graduat en Enginyeria Informàtica,F4970F5BD07B83DFE52148586E52D553,102764,Metodologia de la Programació,"323,5"
2024/25,Graduat en Enginyeria Informàtica,B56A5A98C89071B56B328E4FA51CB9F9,105072,Tecnologia Blockchain i Criptomonedes,"110,8"
2024/25,Graduat en Enginyeria Informàtica,247105AC55B933692D570D35E6257660,102765,Fonaments Dels Computadors,"132,6"
2024/25,Graduat en Enginyeria Informàtica,45D29CFE7691F1716B350B956B6C4EFD,102747,Sistemes Operatius,"186,69"
2024/25,Graduat en Enginyeria Informàtica,2197643B625B2D35C48E05A4AD1C2811,102745,Legislació,"36,12"
2024/25,Graduat en Enginyeria Informàtica,017D89A1034F134745FF4E97172B91BB,102775,Arquitectura de Computadors,"54,5"
2024/25,Graduat en Enginyeria Informàtica,017D89A1034F134745FF4E97172B91BB,102778,Arquitectures Avançades,"46,54"
2024/25,Graduat en Enginyeria Informàtica,5CC432CA3F54D647B60779A83D2BD101,102771,Electricitat i Electrònica,"280,26"
2024/25,Graduat en Enginyeria Informàtica,DC5862C32982EA9F50386736CDAB30D6,102771,Electricitat i Electrònica,84
2024/25,Graduat en Enginyeria Informàtica,2F8A5498F7265EBFBF583DCB7F5D7A5A,102747,Sistemes Operatius,"178,8"
2024/25,Graduat en Enginyeria Informàtica,751E51BD087E74AA43B9EE0D7167F1AB,102788,Laboratori Integrat de Software,"123,55"
2024/25,Graduat en Enginyeria Informàtica,E063C30D963F09CDD7CFD2625D6BE1B1,102775,Arquitectura de Computadors,"110,24"
2024/25,Graduat en Enginyeria Informàtica,03A65B3C5A3FE86A12A076CC17667268,106542,Treball de Final de Grau,"15,69"
2024/25,Graduat en Enginyeria Informàtica,03A65B3C5A3FE86A12A076CC17667268,102784,Visió per Computador,"334,41"
2024/25,Graduat en Enginyeria Informàtica,2CD61BF2C2E22F44E42C9E36441966A3,106542,Treball de Final de Grau,"15,69"
2024/25,Graduat en Enginyeria Informàtica,57EAA58336D8027B642A25C2D61F3D0F,103804,Ètica per a l'Enginyeria,108
2024/25,Graduat en Enginyeria Informàtica,9E041AD63B8B5AEAE58015AFAE4E015A,106542,Treball de Final de Grau,"62,77"
2024/25,Graduat en Enginyeria Informàtica,C055F018122DB9509A99350F147C7603,103804,Ètica per a l'Enginyeria,"136,84"
2024/25,Graduat en Enginyeria Informàtica,C055F018122DB9509A99350F147C7603,103805,Fonaments d'Enginyeria,"400,15"
2024/25,Graduat en Enginyeria Informàtica,C055F018122DB9509A99350F147C7603,103806,Fonaments d'Informàtica,"38,46"
2024/25,Graduat en Enginyeria Informàtica,A630084B00C44035229929FE6CB11DFE,102774,Estructura de Computadors,"143,48"
2024/25,Graduat en Enginyeria Informàtica,F0489BA0BFDCCEB489EC1273F9F7B7A4,103801,Àlgebra,273
2024/25,Graduat en Enginyeria Informàtica,40A65185CBBFD50D47AC210145F8CD5D,102749,Tecnologies Avançades d'Internet,"77,52"
2024/25,Graduat en Enginyeria Informàtica,40A65185CBBFD50D47AC210145F8CD5D,102746,Xarxes,"55,24"
2024/25,Graduat en Enginyeria Informàtica,94460EBE3289387A86D97B4AA8EA6263,102753,Visualització Gràfica Interactiva,"326,72"
2024/25,Graduat en Enginyeria Informàtica,81B87839AD7EAED82C710B086B1A17FF,103802,Càlcul,"105,6"
2024/25,Graduat en Enginyeria Informàtica,17BF9917597DE0B24F141F6923601B77,106542,Treball de Final de Grau,"47,08"
2024/25,Graduat en Enginyeria Informàtica,17BF9917597DE0B24F141F6923601B77,102746,Xarxes,"102,19"
2024/25,Graduat en Enginyeria Informàtica,725C4FC318AEB213E716BCF4E2B94C1D,102745,Legislació,"86,17"
2024/25,Graduat en Enginyeria Informàtica,8388B57EF8CFD63F80ACFD05851C7C4F,102765,Fonaments Dels Computadors,"123,5"
2024/25,Graduat en Enginyeria Informàtica,5CE01F2B35EBE8EDDD1493F7639E30FD,106542,Treball de Final de Grau,"15,69"
2024/25,Graduat en Enginyeria Informàtica,5CE01F2B35EBE8EDDD1493F7639E30FD,102746,Xarxes,"52,61"
2024/25,Graduat en Enginyeria Informàtica,F8048FAC833229318DB6870540F23B7B,102744,Bases de Dades,313
2024/25,Graduat en Enginyeria Informàtica,F8048FAC833229318DB6870540F23B7B,102764,Metodologia de la Programació,"160,08"
2024/25,Graduat en Enginyeria Informàtica,51850D88ADD497DACE4E30830A809A12,102781,Models de Qualitat en la Gestió de les TIC,"169,33"
2024/25,Graduat en Enginyeria Informàtica,389FD0C6D243B17C055FC8A98B44F5D1,102769,Informació i Seguretat,"78,73"
2024/25,Graduat en Enginyeria Informàtica,389FD0C6D243B17C055FC8A98B44F5D1,102772,Matemàtica Discreta,"148,05"
2024/25,Graduat en Enginyeria Informàtica,0DDC82DE74441F745E943C925C9BFA89,103803,Estadística,30
2024/25,Graduat en Enginyeria Informàtica,7E4CD8798FBEF433FFB66813AAFD22BF,102792,Prototipatge de Sistemes Encastats,"91,68"
2024/25,Graduat en Enginyeria Informàtica,7E4CD8798FBEF433FFB66813AAFD22BF,106542,Treball de Final de Grau,"15,69"
